% Location: Cambridge; started 09:00 13/10/07 
% Water was cooling. There was more water in the steel cup. 
% The ordinary cup was not covered as is typical. 
% "Time"	"Insulated steel cup temperature"	"Ordinary cup temperature"	"Outside temperature"	"Smoothed outside temperature"
% "seconds"	"celsius"	"celsius"	"celsius"	"celsius"
%0 18.5 18.3 15.90 15.60
128 95.3 87.8 15.50 15.60
256 91.7 81.4 15.65 15.60
384 89.4 75.8 15.33 15.60
512 87.8 71.1 15.57 15.60
640 86.2 67.3 15.73 15.62
768 84.6 63.8 15.49 15.64
896 82.7 60.3 15.51 15.67
1024 81.4 57.9 15.81 15.72
1152 79.7 55.3 15.72 15.76
1280 78.6 52.8 15.74 15.82
1408 77.2 50.2 15.89 15.87
1536 76.1 48.3 15.90 15.92
1664 74.7 46.5 16.25 15.96
1792 73.5 44.8 15.99 16.00
1920 72.3 43.1 15.89 16.04
2048 71.1 41.6 16.16 16.07
2176 69.9 40.2 16.22 16.11
2304 68.9 38.8 16.05 16.16
2432 67.9 37.3 16.06 16.21
2560 66.9 36.1 15.95 16.29
2688 65.9 35.0 16.23 16.37
2816 65.0 34.1 16.53 16.47
2944 64.0 33.2 16.77 16.57
3072 63.1 32.3 16.61 16.67
3200 62.2 31.5 16.96 16.77
3328 61.3 30.7 16.91 16.86
3456 60.4 30.1 16.96 16.95
3584 59.6 29.5 16.99 17.03
3712 58.9 28.8 17.22 17.11
3840 58.3 28.3 16.72 17.18
3968 57.6 27.8 17.38 17.24
4096 57.0 27.3 17.64 17.29
4224 56.3 26.9 17.39 17.32
4352 55.6 26.4 17.72 17.34
4480 55.0 26.1 17.45 17.33
4608 54.3 25.5 17.27 17.32
4736 53.6 25.1 17.16 17.31
4864 52.9 24.7 17.22 17.31
4992 52.3 24.2 16.95 17.31
5120 51.7 23.8 17.06 17.34
5248 51.0 23.4 17.46 17.38
5376 50.3 23.1 17.67 17.43
5504 49.8 22.9 17.50 17.48
5632 49.2 22.7 17.60 17.53
5760 48.7 22.4 17.45 17.57
5888 48.2 22.1 17.75 17.61
6016 47.6 21.8 17.76 17.65
6144 47.1 21.6 17.38 17.68
6272 46.6 21.4 17.94 17.72
6400 46.1 21.2 17.89 17.76
6528 45.6 20.9 17.71 17.82
6656 45.1 20.7 17.46 17.89
6784 44.6 20.5 17.49 17.97
6912 44.2 20.4 18.32 18.05
7040 43.8 20.3 18.57 18.14
7168 43.4 20.1 18.24 18.23
7296 42.9 20.0 18.17 18.31
7424 42.4 19.8 18.61 18.38
7552 42.0 19.7 18.53 18.44
7680 41.8 19.6 18.47 18.49
7808 41.3 19.5 18.57 18.52
7936 41.0 19.5 18.29 18.55
8064 40.6 19.4 18.86 18.58
8192 40.2 19.4 18.72 18.60
8320 39.9 19.3 18.66 18.63
8448 39.6 19.2 18.28 18.65
8576 39.2 19.0 18.84 18.68
8704 38.9 19.0 18.66 18.71
8832 38.6 18.9 18.62 18.75
8960 38.2 18.9 18.76 18.79
9088 38.0 18.9 18.84 18.84
9216 37.6 18.8 19.20 18.90
9344 37.3 18.7 19.05 18.96
9472 37.0 18.6 18.63 19.03
9600 36.6 18.6 18.64 19.10
9728 36.4 18.6 19.16 19.18
9856 36.1 18.6 19.29 19.26
9984 35.9 18.6 19.87 19.33
10112 35.7 18.6 19.98 19.39
10240 35.4 18.6 19.53 19.44
10368 35.2 18.6 19.13 19.48
10496 34.9 18.6 19.01 19.53
10624 34.7 18.6 19.00 19.58
